@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute 'Overdrive- Drive' numeric
@attribute Ch-Mix numeric
@attribute 'Rev- space' numeric
@attribute 'Rev - Mix' numeric
@attribute 'Del - Mix' numeric
@attribute 'Distorsion - Drive' numeric

@data
380,'2023/04/18 13:32:56:020',5,2234.759766,1496.310913,595.6922,530.422668,158.695038,5581.703613,7584.708008,2026.415649,1586.03418,842.866516,294.205048,291.105164,98.392776,2295.326416,2810.042725,1488.384766,1351.530518,646.982483,194.082062,207.642197,76.505569,1503.098877,1627.483765,1299.023926,0,0.8,0.702343,0.649606,0.645669,0.80315
381,'2023/04/18 13:32:56:529',5,1601.519897,703.892273,736.276733,788.242859,205.286789,5168.721191,7336.14209,1599.422119,1015.005554,319.42218,358.661926,511.731659,131.0784,2083.570313,2662.388672,1013.832642,827.093018,229.420883,243.180023,420.749451,100.051292,1328.337524,1495.390625,824.033264,0,0.8,0.702343,0.649606,0.645669,0.80315
382,'2023/04/18 13:32:57:084',5,1615.353516,602.068909,863.96051,802.239014,153.912796,5040.595215,6978.80957,842.683472,1088.324951,229.496552,420.746613,529.455383,85.827675,1796.184937,2388.17041,529.031799,882.132263,136.440613,270.616241,422.33313,63.870773,952.07196,1179.345215,432.713226,0,0.8,0.702343,0.649606,0.645669,0.80315
383,'2023/04/18 13:32:57:598',5,1800.688232,565.90094,896.094849,562.080688,256.494324,4739.453125,6671.674805,1239.786987,953.67865,238.74437,405.027374,387.076599,118.047569,1726.934814,2303.081543,772.283447,725.27533,165.322495,251.864716,317.755402,86.807518,974.392456,1181.037109,618.84613,0,0.8,0.702343,0.649606,0.645669,0.80315
384,'2023/04/18 13:32:58:089',5,1139.840576,589.631104,832.422119,466.665192,137.350815,4906.34668,7022.017578,962.624817,684.060364,221.295868,396.414124,335.038422,92.064903,1723.489746,2392.272217,475.527313,543.564941,128.800308,254.297211,281.408844,72.736038,905.99408,1179.983032,349.022034,0,0.8,0.702343,0.649606,0.645669,0.80315
385,'2023/04/18 13:32:58:630',5,1397.581787,637.012207,784.34082,669.437012,219.679672,5143.274902,6908.615723,1140.753052,926.224548,298.012054,375.75946,377.482269,137.187759,1889.767822,2464.070313,764.125183,789.322632,223.29715,253.9422,290.197845,104.04689,1108.430542,1376.069092,671.557861,0,0.8,0.702343,0.649606,0.645669,0.80315
386,'2023/04/18 13:32:59:197',5,1972.806641,694.710022,871.9151,651.186462,138.190857,5374.586914,7247.464844,1309.733521,1177.441528,361.498047,419.493469,426.123718,85.962456,1917.859131,2462.640625,761.216125,927.32135,290.085052,258.357788,345.379211,67.061981,1031.750244,1209.152466,611.384277,0,0.8,0.702343,0.649606,0.645669,0.80315
387,'2023/04/18 13:32:59:699',5,1462.802612,545.953247,793.903809,827.550537,184.993073,5033.79248,6807.644043,1077.348999,871.825928,210.550552,409.990234,526.737183,106.531029,1809.926636,2350.589844,607.459534,693.622925,133.393326,279.144287,427.666382,77.667404,1005.885315,1220.933838,486.417114,0,0.8,0.702343,0.649606,0.645669,0.80315
388,'2023/04/18 13:33:00:242',5,1469.474609,555.96051,664.586975,665.97345,258.400208,4786.439453,6536.899902,1136.233521,820.737427,209.004013,332.520172,407.171661,139.911804,1747.0896,2275.785645,614.736938,618.080566,126.848091,229.262451,329.860596,103.225945,983.262878,1164.428589,491.960846,0,0.8,0.702343,0.649606,0.645669,0.80315
389,'2023/04/18 13:33:00:782',5,1411.659546,951.677429,705.753845,661.792175,161.685394,5099.656738,6924.678223,849.5495,872.323547,506.761505,350.558624,395.861115,103.103699,1856.053589,2423.681396,473.903198,703.455627,369.968994,229.455917,296.093109,78.026649,1007.799866,1230.116821,372.699402,0,0.8,0.702343,0.649606,0.645669,0.80315
