TIMESTAMP;STREAM_ID;SEQUENCE; Brachioradialis  Sx ; Brachioradialis  Dx ; Extensor Carpi Radialis Sx ; Extensor Carpi Radialis  Dx ; Triceps brachii Long Head Dx ; Deltoid  Lateral  Dx ; Abductor digiti minimi (hand) Sx ; Abductor digiti minimi (hand) Dx 
nan;96;18595;-871;-2802;10;-155;2817;-557;3761;2628
nan;96;18597;6487;6206;95;-76;-4625;-848;7015;-5981
nan;96;18599;12870;13001;145;-31;-11224;-128;9574;-12840
nan;96;18601;16774;16535;120;106;-14436;134;11654;-16413
nan;96;18603;17368;15891;237;189;-14228;-445;10981;-15841
nan;96;18605;12477;9332;340;119;-8858;-817;5601;-9442
nan;96;18607;11510;9201;272;95;-8093;-761;3970;-9115
nan;96;18609;12120;9544;229;23;-8918;653;4702;-9673
nan;96;18611;8143;4622;230;-39;-4399;1685;2732;-4677
nan;96;18613;6033;2234;241;-55;-1019;1381;1859;-1979
nan;96;18615;5018;590;167;-29;1289;1575;1206;-495
nan;96;18617;-798;-5887;146;39;6818;1818;-896;5713
nan;96;18619;-5467;-9086;136;48;10020;1282;-2211;8833
nan;96;18621;-6598;-10035;67;-26;10174;745;-2260;9828
nan;96;18623;-9462;-15422;23;-91;11941;905;-3120;15135
nan;96;18625;-16561;-22936;-44;-83;17563;623;-6903;22733
nan;96;18627;-20595;-26227;-90;-125;19972;-512;-9001;26187
nan;96;18629;-19211;-22624;-100;56;17204;-952;-7852;22879
nan;96;18631;-8573;-9789;-167;145;6781;-992;-1138;10070
nan;96;18633;-2909;-3200;-145;-1;2991;-825;2451;3124
nan;96;18635;-465;-563;-80;-15;3970;-608;4170;469
nan;96;18637;7943;7986;-14;25;-5199;-1032;7976;-7791
nan;96;18639;14127;13465;35;-21;-12549;-1011;10399;-13249
nan;96;18641;16996;17547;173;-14;-16400;-292;11453;-17178
nan;96;18643;16036;18259;245;30;-17319;670;9409;-18027
nan;96;18645;10939;13787;271;25;-13676;1195;4207;-13835
nan;96;18647;9951;13485;266;18;-11669;1219;2751;-13601
nan;96;18649;10461;14186;191;65;-11604;875;3131;-14280
nan;96;18651;6104;10239;132;115;-9456;196;756;-10433
nan;96;18653;3655;8066;131;85;-7663;-175;-488;-8301
nan;96;18655;2905;6855;128;-48;-6549;-197;-987;-6919
nan;96;18657;-3131;-64;42;-119;-979;-35;-3200;-45
nan;96;18659;-7776;-3673;8;-135;2929;328;-4824;3548
nan;96;18661;-9392;-4798;-7;-232;4357;709;-5384;4596
nan;96;18663;-11894;-8122;-32;-191;6672;259;-5909;7949
nan;96;18665;-18699;-15867;-107;-55;13223;-508;-9473;15783
nan;96;18667;-22672;-20200;-140;31;18149;-1102;-11566;19980
nan;96;18669;-19720;-15933;-235;-102;17138;-1129;-9345;15810
nan;96;18671;-8434;-3930;-205;-317;7331;-805;-1895;4019
nan;96;18673;-3504;233;-115;-204;2449;-1157;1250;-147
nan;96;18675;-899;2359;-57;57;-522;-2290;2733;-2576
nan;96;18677;8009;10141;12;-31;-10280;-3164;6592;-10311
nan;96;18679;14436;14323;100;319;-16849;-3184;9005;-14028
nan;96;18681;17471;16891;162;308;-18308;-2103;10466;-16463
nan;96;18683;17614;17568;158;99;-17303;-771;9493;-17126
nan;96;18685;12285;11955;144;70;-11853;-280;4288;-11847
nan;96;18687;12644;12335;203;41;-10911;460;3039;-12246
nan;96;18689;13288;12416;295;8;-11186;2342;2989;-12462
nan;96;18691;7569;6927;214;-23;-6613;3951;458;-7150
nan;96;18693;5302;5262;144;-21;-4466;3175;-333;-5262
nan;96;18695;4458;3588;205;-31;-3429;1215;-1075;-3632
nan;96;18697;-1053;-3375;161;31;1807;479;-3196;3276
nan;96;18699;-4748;-7367;75;32;6075;1165;-4286;7287
nan;96;18701;-5950;-8490;33;-39;7678;1647;-4420;8297
nan;96;18703;-8738;-12178;-29;-62;10573;1117;-5520;11903
nan;96;18705;-16496;-20083;-86;-89;17487;1075;-9591;19703
nan;96;18707;-20095;-22973;-170;-44;20470;507;-11019;22588
nan;96;18709;-16767;-18395;-207;31;17204;-219;-8765;18231
nan;96;18711;-6818;-7643;-199;48;7974;-953;-2365;7643
nan;96;18713;-1822;-3252;-167;88;3164;-1602;765;3192
nan;96;18715;177;-657;-40;116;1119;-2129;2465;830
nan;96;18717;8126;8843;46;-90;-6809;-2471;5779;-8783
nan;96;18719;13596;14411;94;-224;-12155;-2325;7769;-14376
nan;96;18721;17665;17614;232;-200;-15188;-2238;9672;-17436
nan;96;18723;17057;15624;281;-205;-14045;-1623;7685;-15579
nan;96;18725;11074;9647;268;-83;-9124;-81;2231;-9550
nan;96;18727;10661;11187;229;-24;-9795;121;1306;-10846
nan;96;18729;10265;10844;232;-36;-9816;-739;933;-10674
nan;96;18731;5281;5373;231;-8;-4925;-1252;-1844;-5372
nan;96;18733;3778;3923;246;58;-3287;-1185;-2543;-4129
nan;96;18735;2439;2324;233;107;-2118;-619;-3201;-2332
nan;96;18737;-3849;-4176;138;111;3397;1223;-5367;4100
nan;96;18739;-7895;-8387;109;98;7502;2499;-6325;8188
nan;96;18741;-9097;-9369;28;43;8873;2576;-6343;9329
nan;96;18743;-12412;-13586;-30;90;11939;2254;-7599;13497
