@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric

@data
43,'2023/03/30 14:04:48:228',1,0.704615,0.778462,0.636923,0.556923,0.013494,0.012813,0.00287,0.00844,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
44,'2023/03/30 14:04:48:729',1,0.747692,0.735385,0.618462,0.636923,0.012648,0.012225,0.00379,0.006696,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
45,'2023/03/30 14:04:49:228',1,0.612308,0.729231,0.544615,0.532308,0.015433,0.014545,0.004825,0.009268,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
46,'2023/03/30 14:04:49:730',1,0.68,0.649231,0.538462,0.569231,0.100087,0.083032,0.005,0.009467,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
47,'2023/03/30 14:04:50:232',1,0.735385,0.710769,0.563077,0.563077,0.060059,0.059606,0.005036,0.009141,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
48,'2023/03/30 14:04:50:732',1,0.741538,0.692308,0.612308,0.593846,0.012771,0.017648,0.004453,0.009972,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
49,'2023/03/30 14:04:51:232',1,0.729231,0.692308,0.593846,0.550769,0.013354,0.016792,0.00628,0.010424,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
50,'2023/03/30 14:04:51:735',1,0.790769,0.852308,0.556923,0.612308,0.01681,0.016677,0.004506,0.008503,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
51,'2023/03/30 14:04:52:237',1,0.790769,0.643077,0.581538,0.556923,0.043303,0.019849,0.003299,0.010118,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
52,'2023/03/30 14:04:52:736',1,0.563077,0.858462,0.643077,0.587692,0.017143,0.012519,0.002655,0.009377,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
