TIMESTAMP;STREAM_ID;SEQUENCE; Brachioradialis  Sx ; Brachioradialis  Dx ; Extensor Carpi Radialis Sx ; Extensor Carpi Radialis  Dx ; Triceps brachii Long Head Dx ; Deltoid  Lateral  Dx ; Abductor digiti minimi (hand) Sx ; Abductor digiti minimi (hand) Dx 
nan;96;21819;-1031;-1285;-751;-449;1297;-224;-8608;3692
nan;96;21821;-1045;-1663;-175;430;1758;-182;-5881;3426
nan;96;21823;-573;-1394;471;977;992;-213;-235;2692
nan;96;21825;-737;-1342;2304;493;795;-192;1294;1816
nan;96;21827;-635;-1086;2385;-855;802;-235;1685;840
nan;96;21829;469;364;1244;-1053;-493;-348;3528;-794
nan;96;21831;1141;943;488;-532;-1760;-440;6488;-1988
nan;96;21833;-136;-54;-501;-148;-1876;-528;7119;-1183
nan;96;21835;-387;438;-874;147;-2588;-707;5117;-965
nan;96;21837;775;1693;-1310;469;-3878;-848;1047;-2380
nan;96;21839;-276;154;-1614;938;-2689;-906;177;-973
nan;96;21841;7;-438;-1840;1206;-622;-989;554;-600
nan;96;21843;-889;-1046;-708;1192;2107;-974;-4788;228
nan;96;21845;-2258;-1242;942;736;3186;-743;-10376;406
nan;96;21847;-2195;-2912;2267;472;4554;-217;-13132;2399
nan;96;21849;968;-810;3025;50;2671;385;-9472;272
nan;96;21851;1242;-417;2896;280;1473;859;-7406;335
nan;96;21853;364;-1593;2041;764;1893;1125;-9033;1806
nan;96;21855;-586;-4365;1422;1250;2585;798;-11686;4002
nan;96;21857;1497;-3098;418;849;953;191;-10880;1988
nan;96;21859;4628;177;-747;130;-2711;-220;-9012;-146
nan;96;21861;4336;901;-2194;291;-3792;-286;-8501;671
nan;96;21863;2184;-201;-2352;1272;-2686;-46;-6061;1677
nan;96;21865;2553;1307;-1396;1903;-2703;404;-3225;-836
nan;96;21867;1742;1217;-587;1347;-2036;672;-2461;-1619
nan;96;21869;815;637;-109;893;-2716;966;532;-1585
nan;96;21871;1150;1876;42;633;-4679;1145;2500;-2518
nan;96;21873;1369;2035;258;681;-4923;707;2527;-969
nan;96;21875;730;1538;169;486;-3011;49;1712;30
nan;96;21877;-570;1027;426;416;-1010;-218;-3135;-984
nan;96;21879;-358;1758;826;-809;-1361;-133;-7134;-2630
nan;96;21881;-1369;1050;1920;-2401;-315;52;-6577;-1400
nan;96;21883;-2704;1126;1342;-3387;1068;339;-5332;-392
nan;96;21885;-4456;-189;-296;-3329;3403;138;-6075;1036
nan;96;21887;-3442;460;143;-1770;3473;-106;-10218;-580
nan;96;21889;-2264;-885;60;161;4319;-124;-14123;-211
nan;96;21891;-344;-1066;335;1113;3423;29;-13594;495
nan;96;21893;-368;-1212;1269;1453;3718;148;-16101;1555
nan;96;21895;-1272;-3150;1120;1356;5678;82;-16933;2904
nan;96;21897;-466;-2675;658;749;4852;-37;-11428;2275
nan;96;21899;58;-1821;-376;-259;3442;-104;-6984;2022
nan;96;21901;920;-729;-1487;-932;1199;-145;-3323;-89
nan;96;21903;722;307;-2005;-457;-943;-198;-1781;-579
nan;96;21905;-311;-105;-2480;-316;-1043;-231;-3913;1203
nan;96;21907;1413;2905;-1546;-1392;-2891;-210;-1966;-1071
nan;96;21909;1632;2205;310;-2817;-2376;-273;-1521;-2076
nan;96;21911;1201;1193;1130;-2980;-1329;-358;-855;-1994
nan;96;21913;1956;2031;1217;-1975;-2504;-480;15;-2807
nan;96;21915;1263;1703;679;-1065;-1615;-569;-488;-1610
nan;96;21917;239;1306;-191;293;128;-558;-988;-1012
nan;96;21919;-529;377;822;1695;598;-503;-2384;-680
nan;96;21921;-1149;-96;1498;2662;-35;-467;-6004;-727
nan;96;21923;-2590;203;1007;2689;2;-303;-7958;-790
nan;96;21925;-3901;309;339;2345;-260;-381;-8272;381
nan;96;21927;-4576;278;-92;1807;-764;-392;-10732;1403
nan;96;21929;-3656;321;-206;1118;-1169;-232;-12407;2803
nan;96;21931;-2965;-1091;-721;-440;417;-420;-11665;5196
nan;96;21933;-1538;-732;-1431;-2022;362;-569;-11732;5116
nan;96;21935;-2199;-1819;-1250;-2743;1417;-559;-12589;4279
nan;96;21937;-1767;-1935;-640;-2431;1725;-310;-9243;1856
nan;96;21939;-1861;-2346;-428;-1295;2191;632;-4919;-21
nan;96;21941;-2663;-2116;-385;-89;2159;992;-3037;-1722
nan;96;21943;-760;682;-368;918;-852;674;-624;-4950
nan;96;21945;588;2485;-147;1438;-2856;352;-410;-7285
nan;96;21947;-1317;742;346;1681;-1502;212;274;-5002
nan;96;21949;-1111;353;532;1600;-1665;329;3833;-2202
nan;96;21951;-247;606;548;1124;-2656;582;6929;-1284
nan;96;21953;-901;1499;-130;386;-3266;750;7219;-1010
nan;96;21955;-1848;1197;-476;-928;-2291;613;3748;-794
nan;96;21957;-1422;2001;-92;-2832;-1407;246;1871;-3708
nan;96;21959;1659;3176;-220;-3960;-2617;-111;3553;-5204
nan;96;21961;691;450;-465;-2427;98;-188;-411;513
nan;96;21963;-1252;-2211;-367;98;3409;-173;-7336;3416
nan;96;21965;-1224;-3530;39;1355;4489;-137;-8555;3804
nan;96;21967;-1096;-3092;555;1629;4013;-278;-5606;4709
nan;96;21969;-836;-2315;700;1290;2370;-714;-4740;4068
nan;96;21971;-1443;-2596;791;704;2137;-1101;-6411;4217
nan;96;21973;-986;-1397;735;67;1814;-1351;-6840;2963
nan;96;21975;225;-530;555;-331;1268;-1517;-4838;2530
nan;96;21977;1342;-577;449;-208;646;-1571;-539;1712
nan;96;21979;534;-884;465;-103;629;-1561;-2313;902
nan;96;21981;1552;848;96;-135;-1231;-1496;-2052;-48
nan;96;21983;980;-125;109;-286;-648;-943;-772;1368
nan;96;21985;200;8;580;78;-1036;215;1061;1061
nan;96;21987;512;587;273;1219;-1818;1659;1152;425
nan;96;21989;1266;569;-201;2203;-2056;2701;2844;28
nan;96;21991;1346;199;40;1964;-1891;2809;6460;602
nan;96;21993;1594;-181;192;1622;-1676;1863;10640;712
nan;96;21995;1060;-523;-444;1717;-560;894;8658;895
nan;96;21997;1394;619;-1384;1663;-305;537;3760;-273
nan;96;21999;1718;1838;-1450;665;-970;243;1145;-1299
nan;96;22001;-1025;-874;-980;-413;1345;-54;-4278;1653
nan;96;22003;-1643;-852;-208;-1281;1666;-27;-8289;2907
nan;96;22005;-3267;-2841;411;-2587;3239;-184;-10757;6599
nan;96;22007;-1524;-497;663;-3606;2046;-863;-6822;3308
nan;96;22009;1395;1587;902;-2615;-1016;-1407;-2864;-724
nan;96;22011;83;-643;1023;-904;498;-1539;-3789;440
nan;96;22013;182;-322;485;430;581;-1470;-4220;51
nan;96;22015;-428;-640;-409;433;1692;-982;-3932;774
nan;96;22017;836;1341;-545;101;217;-138;-2034;-1485
nan;96;22019;-385;1588;293;315;-418;741;-3625;-2103
nan;96;22021;-396;3055;549;-52;-1868;1150;-2045;-3126
nan;96;22023;352;3180;39;-557;-2390;802;1991;-2500
nan;96;22025;884;2876;-562;-66;-2910;211;2202;-1800
nan;96;22027;1159;2172;-1127;487;-2790;-365;1393;-706
nan;96;22029;1904;3091;-864;696;-3817;-650;6084;-1841
nan;96;22031;3378;3293;-548;848;-4935;-1056;13096;-3068
nan;96;22033;2900;1791;-22;943;-3701;-786;12409;-1964
nan;96;22035;2720;1942;638;830;-3158;-123;8131;-2059
nan;96;22037;1817;1225;1380;819;-1243;923;5735;-1752
nan;96;22039;1889;767;1659;868;-790;1887;6843;-1713
nan;96;22041;-142;-1403;1465;1037;1723;1969;1861;412
nan;96;22043;92;-1532;1114;842;2365;1878;240;597
nan;96;22045;-659;-1841;807;157;2818;1924;1304;1666
nan;96;22047;-1964;-1729;561;-539;3263;1918;-1085;1244
nan;96;22049;-3259;-1824;188;-510;3097;1643;-4911;655
nan;96;22051;-1555;828;-1475;-127;457;1025;-3855;-2453
nan;96;22053;5471;7654;-3111;-231;-5981;639;5524;-9795
nan;96;22055;3373;3661;-2490;-339;-3672;607;6684;-5183
nan;96;22057;-1798;1589;-980;22;-455;841;2200;-2843
nan;96;22059;-787;3529;619;273;-2297;908;2106;-3955
nan;96;22061;603;3833;1615;-248;-2799;401;4791;-4403
nan;96;22063;1277;3610;362;-410;-3172;-304;7840;-5642
nan;96;22065;-710;1975;-263;-161;-1673;-653;7038;-4923
nan;96;22067;-4198;-4129;51;112;3287;-937;5321;3512
nan;96;22069;-5618;-8200;85;612;7521;-1312;9216;10907
nan;96;22071;-35;-3012;-91;1021;1347;-1464;15649;3684
nan;96;22073;2628;-531;-208;1430;-2419;-1480;16313;1618
nan;96;22075;2608;921;-171;1252;-2929;-1422;13237;-722
nan;96;22077;2937;1936;-375;519;-3048;-1234;12068;-3675
