TIMESTAMP;STREAM_ID;SEQUENCE; Brachioradialis  Sx ; Brachioradialis  Dx ; Extensor Carpi Radialis Sx ; Extensor Carpi Radialis  Dx ; Triceps brachii Long Head Dx ; Deltoid  Lateral  Dx ; Abductor digiti minimi (hand) Sx ; Abductor digiti minimi (hand) Dx
nan;96;4229;77;-1467;2018;46;-1303;34;-21974;1472
nan;96;4231;-1452;-1382;1380;-883;491;59;-20549;2526
nan;96;4233;37;1136;1263;-858;-1284;108;-17851;-1039
nan;96;4235;440;2923;1930;-773;-2345;109;-21280;-5020
nan;96;4237;-1054;1621;1851;-246;-531;109;-24305;-3874
nan;96;4239;-655;988;2102;504;-985;72;-22110;-1488
nan;96;4241;-472;-33;3752;756;-1299;18;-13936;1148
nan;96;4243;-526;-1091;4071;449;813;-12;-5744;2312
nan;96;4245;-1046;-1887;3493;-825;3100;0;-6719;1546
nan;96;4247;1489;-425;3932;-974;76;-12;-4155;-2465
nan;96;4249;3089;1974;3752;-335;-5527;-122;2804;-6011
nan;96;4251;-165;520;2371;-157;-4295;-100;8608;-4760
nan;96;4253;-1589;1539;3600;272;-2118;-57;8718;-4688
nan;96;4255;-1172;4879;2487;446;-2813;-33;2535;-5191
nan;96;4257;5806;9858;-348;-633;-8665;-27;5287;-7937
nan;96;4259;1010;2640;-983;-1229;-3997;-2;-3648;1620
nan;96;4261;-7494;-9195;-995;-1244;8238;-112;-12367;16444
nan;96;4263;10634;15191;-1092;-2029;-12669;-113;5251;-14114
nan;96;4265;3674;7681;-1624;-1835;-6982;-110;-3180;-9353
nan;96;4267;976;5051;-1645;-834;-3361;-104;-9684;-6985
nan;96;4269;-200;3636;-489;-671;-1237;-107;-15096;-6097
nan;96;4271;-5489;-1428;914;-1101;5512;-226;-21774;-1541
nan;96;4273;-3605;-364;1030;-763;6524;-245;-18821;-1201
nan;96;4275;3286;1854;-380;117;3481;-245;-9269;-1521
nan;96;4277;7513;2902;-2128;483;847;-199;-11371;-903
nan;96;4279;8537;4626;-2254;349;-2162;-73;-15253;-2883
nan;96;4281;8967;5122;-2371;299;-4362;-60;-5777;-4377
nan;96;4283;9493;4898;-2560;378;-5381;-77;11812;-3677
nan;96;4285;8594;3900;-345;461;-5028;-78;12356;-3358
nan;96;4287;6429;2867;2650;885;-4783;-16;-52;-3211
nan;96;4289;2595;133;3353;1325;-2396;-26;-7182;-480
nan;96;4291;1752;-231;2349;1740;-2313;-38;-1254;-665
nan;96;4293;441;-1899;999;1732;-223;-65;3198;2097
nan;96;4295;-553;-1750;177;1549;963;-43;1572;2117
nan;96;4297;-661;-355;308;557;743;31;3475;-54
nan;96;4299;451;1099;-94;-1238;698;207;5181;-1792
nan;96;4301;1893;1430;-737;-1921;392;288;2539;-1598
nan;96;4303;-383;-1109;301;-1510;2849;283;-5606;762
nan;96;4305;169;1815;2422;-935;1237;247;-8469;-3001
nan;96;4307;1404;5299;2096;-426;-3038;302;-7995;-6217
nan;96;4309;-1509;3564;1360;237;-2268;316;-10932;-4067
nan;96;4311;-438;4511;1161;1159;-2808;257;-9706;-4928
nan;96;4313;-312;2597;-1636;1321;-1449;261;-7616;-2691
nan;96;4315;1064;2083;-3583;-166;-960;79;-6569;-2361
nan;96;4317;3148;709;-1538;-218;652;-76;-8220;-1630
nan;96;4319;2779;-967;3351;884;2167;-222;-4433;-715
nan;96;4321;-611;-473;5530;973;1015;-298;2262;-1329
nan;96;4323;-7837;233;4030;976;-809;-335;5401;-871
nan;96;4325;-14651;813;1641;1382;-2369;-401;9511;-618
nan;96;4327;-18943;-777;-128;1533;-2215;-403;13473;193
nan;96;4329;-20986;-3040;446;1421;-1702;-484;17241;2168
nan;96;4331;-22420;-4447;1903;1709;-999;-510;18032;4184
nan;96;4333;-20968;-3946;2885;2122;-112;-423;14636;3431
nan;96;4335;-17322;-3056;3196;1958;1294;-350;11693;2899
nan;96;4337;-12732;-2859;4776;895;3413;-215;10438;2034
nan;96;4339;-9391;-2827;5185;-1811;3839;83;7513;829
nan;96;4341;-6182;-2369;3342;-2922;2550;305;5414;182
nan;96;4343;-2801;-1809;-862;-1860;1469;366;3515;471
nan;96;4345;218;-101;-3788;-2119;429;401;2963;-628
nan;96;4347;2806;785;-2221;-2631;-425;369;2101;-2120
nan;96;4349;4290;570;4806;-1213;-94;346;313;-1946
nan;96;4351;3498;-1280;12596;-393;1946;354;-2002;20
nan;96;4353;-7009;-14129;14000;287;13330;372;-10716;13079
nan;96;4355;-6535;-9622;9774;-283;12103;369;-7195;9719
nan;96;4357;5377;2123;6292;-984;-1178;343;3980;-2158
nan;96;4359;7132;2665;4724;-1804;-3468;317;4935;-3196
nan;96;4361;20628;13332;-1579;-2579;-14126;220;18269;-14824
nan;96;4363;13588;4713;-9442;-1878;-7146;191;8723;-6860
nan;96;4365;10279;996;-19507;-82;-2817;64;5589;-2722
nan;96;4367;12264;1356;-20446;715;-3019;-34;13680;-3675
nan;96;4369;12886;1376;-10271;2275;-2634;-55;18558;-2887
nan;96;4371;10230;351;-3940;3862;-244;-41;19489;1161
nan;96;4373;6470;1477;-1837;2494;2061;-32;14402;1535
nan;96;4375;4483;2722;-2492;220;2097;-47;10854;-380
nan;96;4377;4715;1869;-6206;497;758;-28;7538;-291
nan;96;4379;3790;-241;-7985;582;2071;-104;693;1458
nan;96;4381;3540;-1497;-9624;425;3426;-152;-1539;2382
nan;96;4383;2281;-2300;-7399;603;3858;-186;-746;2823
nan;96;4385;-556;-4018;-2361;175;5843;-230;-295;4706
nan;96;4387;-1356;-2300;5657;-324;4373;-174;-149;3332
nan;96;4389;-2608;2186;8058;-534;463;-55;-3420;-2130
nan;96;4391;-5747;3448;6773;-356;-1035;-92;-8350;-4827
nan;96;4393;-7798;2528;1155;321;-1378;-196;-10487;-3191
nan;96;4395;-5888;1661;-3504;-205;-1632;-165;-8192;-638
nan;96;4397;-2420;1086;-5720;-1076;-1665;-13;-4040;-217
nan;96;4399;1478;-105;-7513;-1123;-788;-65;6140;216
nan;96;4401;4335;-422;-11325;-180;-328;-127;12610;791
nan;96;4403;5685;-968;-15406;908;-454;-103;12179;1645
nan;96;4405;7874;-36;-10056;1451;-1821;-100;14484;854
nan;96;4407;12569;4979;-7754;1919;-7827;-132;16909;-4228
nan;96;4409;12129;4297;-3958;2160;-8505;-40;10762;-3929
nan;96;4411;10603;1723;2692;1869;-5571;-13;7321;-1723
nan;96;4413;10523;2200;6127;927;-3665;-44;8416;-2198
nan;96;4415;8984;2677;5534;-1111;-2461;17;9702;-2703
nan;96;4417;8434;2599;3659;-2811;-2641;27;11057;-1865
nan;96;4419;9001;3286;3520;-1646;-3404;133;6500;-1504
nan;96;4421;6785;2851;4152;-1139;-2473;328;-1490;-1968
