@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric

@data
39,'2023/04/07 18:08:33:493',1,0.723077,0.698462,0.507692,0.569231,0.526154,0.507692,0.452308,0.538462,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
40,'2023/04/07 18:08:33:895',1,0.636923,0.729231,0.483077,0.556923,0.6,0.458462,0.446154,0.538462,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
41,'2023/04/07 18:08:34:295',1,0.667692,0.698462,0.470769,0.618462,0.6,0.544615,0.458462,0.513846,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
42,'2023/04/07 18:08:34:696',1,0.550769,0.630769,0.427692,0.507692,0.550769,0.581538,0.433846,0.550769,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
43,'2023/04/07 18:08:35:098',1,0.612308,0.636923,0.550769,0.52,0.538462,0.532308,0.476923,0.563077,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
44,'2023/04/07 18:08:35:500',1,0.649231,0.649231,0.513846,0.538462,0.618462,0.433846,0.489231,0.526154,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
45,'2023/04/07 18:08:35:900',1,0.673846,0.68,0.470769,0.513846,0.526154,0.550769,0.52,0.569231,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
46,'2023/04/07 18:08:36:302',1,0.587692,0.661538,0.433846,0.544615,0.587692,0.544615,0.44,0.458462,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
47,'2023/04/07 18:08:36:704',1,0.575385,0.698462,0.446154,0.556923,0.495385,0.593846,0.581538,0.587692,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
48,'2023/04/07 18:08:37:102',1,0.575385,0.618462,0.507692,0.587692,0.569231,0.489231,0.458462,0.593846,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
49,'2023/04/07 18:08:37:505',1,0.661538,0.612308,0.470769,0.507692,0.6,0.550769,0.483077,0.501538,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
50,'2023/04/07 18:08:37:905',1,0.630769,0.563077,0.507692,0.538462,0.538462,0.470769,0.470769,0.464615,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
51,'2023/04/07 18:08:38:305',1,0.630769,0.630769,0.489231,0.563077,0.6,0.489231,0.415385,0.532308,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
52,'2023/04/07 18:08:38:709',1,0.575385,0.538462,0.495385,0.550769,0.649231,0.52,0.44,0.501538,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
53,'2023/04/07 18:08:39:107',1,0.470769,0.593846,0.501538,0.526154,0.612308,0.470769,0.563077,0.575385,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
54,'2023/04/07 18:08:39:510',1,0.526154,0.6,0.52,0.569231,0.544615,0.501538,0.452308,0.569231,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
55,'2023/04/07 18:08:39:911',1,0.649231,0.661538,0.532308,0.433846,0.575385,0.44,0.458462,0.470769,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
56,'2023/04/07 18:08:40:311',1,0.673846,0.710769,0.550769,0.458462,0.501538,0.501538,0.452308,0.532308,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
57,'2023/04/07 18:08:40:712',1,0.575385,0.710769,0.544615,0.544615,0.556923,0.427692,0.464615,0.544615,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
58,'2023/04/07 18:08:41:117',1,0.661538,0.698462,0.507692,0.723077,0.612308,0.575385,0.433846,0.550769,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
59,'2023/04/07 18:08:41:516',1,0.68,0.673846,0.495385,0.593846,0.495385,0.513846,0.470769,0.575385,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
60,'2023/04/07 18:08:41:916',1,0.698462,0.735385,0.452308,0.618462,0.532308,0.458462,0.489231,0.483077,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
61,'2023/04/07 18:08:42:321',1,0.630769,0.772308,0.470769,0.446154,0.550769,0.44,0.483077,0.446154,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
62,'2023/04/07 18:08:42:716',1,0.636923,0.710769,0.501538,0.495385,0.550769,0.587692,0.483077,0.532308,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
63,'2023/04/07 18:08:43:119',1,0.741538,0.729231,0.52,0.507692,0.612308,0.470769,0.452308,0.507692,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
64,'2023/04/07 18:08:43:523',1,0.710769,0.692308,0.464615,0.6,0.532308,0.532308,0.433846,0.532308,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
65,'2023/04/07 18:08:43:922',1,0.618462,0.630769,0.501538,0.550769,0.581538,0.581538,0.44,0.544615,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
66,'2023/04/07 18:08:44:321',1,0.667692,0.673846,0.513846,0.569231,0.489231,0.513846,0.470769,0.544615,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
67,'2023/04/07 18:08:44:724',1,0.636923,0.655385,0.513846,0.550769,0.489231,0.526154,0.513846,0.446154,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
68,'2023/04/07 18:08:45:122',1,0.692308,0.6,0.513846,0.44,0.581538,0.563077,0.458462,0.636923,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
69,'2023/04/07 18:08:45:523',1,0.575385,0.790769,0.470769,0.501538,0.581538,0.526154,0.470769,0.458462,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
70,'2023/04/07 18:08:45:925',1,0.630769,0.649231,0.483077,0.550769,0.507692,0.507692,0.526154,0.483077,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
71,'2023/04/07 18:08:46:327',1,0.636923,0.636923,0.470769,0.544615,0.513846,0.532308,0.495385,0.563077,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
72,'2023/04/07 18:08:46:728',1,0.6,0.630769,0.446154,0.556923,0.526154,0.52,0.464615,0.476923,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
73,'2023/04/07 18:08:47:128',1,0.68,0.649231,0.433846,0.581538,0.587692,0.569231,0.452308,0.452308,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
74,'2023/04/07 18:08:47:528',1,0.692308,0.655385,0.415385,0.538462,0.507692,0.544615,0.464615,0.593846,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
75,'2023/04/07 18:08:47:928',1,0.366154,0.550769,0.507692,0.630769,0.489231,0.532308,0.550769,0.532308,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
76,'2023/04/07 18:08:48:334',1,0.532308,0.630769,0.526154,0.52,0.606154,0.446154,0.501538,0.489231,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
77,'2023/04/07 18:08:48:731',1,0.630769,0.624615,0.483077,0.52,0.507692,0.464615,0.446154,0.538462,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
78,'2023/04/07 18:08:49:132',1,0.612308,0.673846,0.6,0.532308,0.556923,0.489231,0.483077,0.52,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
79,'2023/04/07 18:08:49:534',1,0.796923,0.766154,0.556923,0.501538,0.6,0.513846,0.495385,0.526154,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
80,'2023/04/07 18:08:49:935',1,0.661538,0.76,0.544615,0.550769,0.630769,0.483077,0.501538,0.569231,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
81,'2023/04/07 18:08:50:336',1,0.550769,0.753846,0.513846,0.772308,0.606154,0.538462,0.526154,0.563077,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
82,'2023/04/07 18:08:50:738',1,0.612308,0.667692,0.470769,0.698462,0.618462,0.532308,0.483077,0.483077,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
83,'2023/04/07 18:08:51:138',1,0.6,0.673846,0.544615,0.507692,0.550769,0.476923,0.507692,0.483077,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
84,'2023/04/07 18:08:51:543',1,0.766154,0.778462,0.446154,0.563077,0.575385,0.464615,0.427692,0.501538,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
85,'2023/04/07 18:08:51:943',1,0.716923,0.729231,0.495385,0.606154,0.686154,0.587692,0.44,0.489231,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
86,'2023/04/07 18:08:52:343',1,0.729231,0.723077,0.52,0.593846,0.587692,0.495385,0.464615,0.532308,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
87,'2023/04/07 18:08:52:743',1,0.563077,0.636923,0.495385,0.563077,0.618462,0.458462,0.501538,0.513846,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
88,'2023/04/07 18:08:53:143',1,0.563077,0.716923,0.495385,0.446154,0.513846,0.464615,0.556923,0.526154,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
89,'2023/04/07 18:08:53:546',1,0.667692,0.68,0.526154,0.458462,0.538462,0.464615,0.52,0.507692,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
90,'2023/04/07 18:08:53:947',1,0.667692,0.741538,0.526154,0.513846,0.544615,0.550769,0.550769,0.507692,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
91,'2023/04/07 18:08:54:350',1,0.643077,0.556923,0.495385,0.470769,0.587692,0.427692,0.396923,0.581538,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
92,'2023/04/07 18:08:54:749',1,0.563077,0.569231,0.452308,0.495385,0.526154,0.563077,0.464615,0.587692,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
93,'2023/04/07 18:08:55:149',1,0.544615,0.68,0.513846,0.6,0.587692,0.476923,0.538462,0.618462,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
94,'2023/04/07 18:08:55:552',1,0.655385,0.556923,0.470769,0.532308,0.587692,0.532308,0.44,0.52,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
95,'2023/04/07 18:08:55:951',1,0.716923,0.686154,0.52,0.532308,0.544615,0.513846,0.544615,0.538462,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
96,'2023/04/07 18:08:56:353',1,0.636923,0.630769,0.52,0.513846,0.569231,0.495385,0.544615,0.501538,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
97,'2023/04/07 18:08:56:753',1,0.606154,0.747692,0.409231,0.606154,0.575385,0.532308,0.458462,0.563077,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
98,'2023/04/07 18:08:57:156',1,0.686154,0.673846,0.569231,0.563077,0.661538,0.532308,0.716923,0.52,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
99,'2023/04/07 18:08:57:558',1,0.569231,0.716923,0.464615,0.581538,0.636923,0.550769,0.655385,0.489231,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
100,'2023/04/07 18:08:57:957',1,0.686154,0.796923,0.513846,0.569231,0.630769,0.587692,0.563077,0.470769,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
